LAD20NM,Group Name
Adur,"['Manufacturing, energy and utilities' 'Business parks'
 'Mining and quarrying facilities' 'Public administration and security'
 'Eat, drink and be merry' 'Market squares'
 'Primarily residential suburbs' 'Traditional countryside'
 'Non-metropolitan suburban areas' 'Low density wholesale and retail'
 'Accessible countryside' 'Large scale education'
 'Healthcare and public administration' 'Rural with mining or quarrying']"
Allerdale,"['Market squares' 'Large scale education'
 'Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Town fringe countryside ' 'Low density wholesale and retail'
 'Traditional high streets' 'Eat, drink and be merry'
 'Public administration and security' 'Traditional countryside'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs']"
Amber Valley,"['Traditional high streets' 'Large scale education'
 'Low density wholesale and retail' 'Market squares'
 'Manufacturing, energy and utilities' 'Multiethnic urban high streets'
 'Mining and quarrying facilities' 'Healthcare and public administration'
 'Public administration and security' 'Industrial units'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Town fringe countryside ' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Metro suburban distribution industries'
 'Accessible countryside' 'Business parks']"
Arun,"['Market squares' 'Rural with mining or quarrying'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Mining and quarrying facilities' 'Town fringe countryside '
 'Traditional high streets' 'Public administration and security'
 'Eat, drink and be merry' 'Traditional countryside'
 'Accessible countryside' 'Non-metropolitan suburban areas'
 'Business parks' 'Primarily residential suburbs' 'Large scale education'
 'Multiethnic urban high streets' 'Teachers and carers in metro suburbs'
 'Healthcare and public administration']"
Ashfield,"['Low density wholesale and retail' 'Multiethnic urban high streets'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Industrial units' 'Healthcare and public administration'
 'Public administration and security' 'Traditional high streets'
 'Large scale education' 'Business parks' 'Science and business parks'
 'Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Town fringe countryside '
 'Market squares' 'Traditional countryside'
 'Self-employed tradespeople in multicultural metro suburbs']"
Ashford,"['Manufacturing, energy and utilities' 'Business parks'
 'Traditional high streets' 'Low density wholesale and retail'
 'Industrial units' 'Healthcare and public administration'
 'Large scale education' 'Public administration and security'
 'Market squares' 'Eat, drink and be merry' 'Regional business centres'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Traditional countryside' 'Town fringe countryside '
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Metro suburban distribution industries']"
Babergh,"['Business parks' 'Manufacturing, energy and utilities'
 'Accessible countryside' 'Market squares'
 'Low density wholesale and retail' 'Traditional high streets'
 'Traditional countryside' 'Town fringe countryside '
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Mining and quarrying facilities'
 'Large scale education' 'Public administration and security']"
Barking and Dagenham,"['Science and business parks' 'Shop until you drop'
 'Administrative centres ' 'Regional business centres'
 'Healthcare and public administration'
 'Teachers and carers in metro suburbs' 'Industrial units'
 'Large scale education' 'Mining and quarrying facilities' 'Big city life'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries'
 'Independent professional metro services']"
Barnet,"['Administrative centres ' 'Teachers and carers in metro suburbs'
 'Independent professional metro services' 'Big city life'
 'Metro suburban distribution industries' 'Regional business centres'
 'Multiethnic urban high streets' 'Science and business parks'
 'Global business' 'Shop until you drop'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
Barnsley,"['Mining and quarrying facilities' 'Low density wholesale and retail'
 'Large scale education' 'Public administration and security'
 'Traditional high streets' 'Market squares' 'Business parks'
 'Regional business centres' 'Accessible countryside'
 'Town fringe countryside ' 'Manufacturing, energy and utilities'
 'Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Industrial units'
 'Traditional countryside' 'Healthcare and public administration']"
