% aged 16-64 who are employees,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",% of economically inactive who do not want a job,% who are economically inactive - aged 16-64,% with NVQ4+ - aged 16-64,Economic activity rate - aged 16-64,Population estimates - Aged 65 and over (%),Claimants as a proportion of economically active residents aged 16+
59.6,8.3,61.4,27.1,31.8,72.9,19.4,12.5
58.5,11.7,78.1,30.6,30.8,69.4,16.4,15.2
61,10,77.8,27.5,28.5,72.5,22.6,10.5
65.2,10.5,70.4,20.5,38.3,79.5,18.5,9.3
67.3,9.6,68.2,21.1,33.7,78.9,20.5,9.5
67.7,8.7,74.1,25,31.2,75,18.4,9.8
70.9,10.2,79.3,17.4,41.8,82.6,18.9,7
59.9,10.8,78.5,27.6,29.5,72.4,14.5,12.1
63.6,13.7,75.3,24.2,23.6,75.8,20.4,16.8
66.5,10.6,74.9,22.5,23.4,77.5,15.1,12.9
63.3,9.1,88.2,21.7,41.8,78.3,26.2,6.4
65.2,10.3,77.2,23.7,25.2,76.3,20.6,9.8
62.1,13,85,22.5,32.4,77.5,21.3,8.1
65.8,7.1,74.3,20.3,46.4,79.7,18.4,5.3
67.4,7.1,72.9,20.6,44.2,79.4,16.5,10.1
63.6,10.2,83,23.2,36.3,76.8,12.2,10.1
59.3,7.2,77.5,23.1,51,76.9,25.5,5.5
64,11.2,73.1,24.2,41.2,75.8,11.6,11.2
60.4,9.7,73.7,19.8,40.9,80.2,24.7,5.7
67.9,7.3,69.4,21,29.7,79,17.3,8.5
68.9,13,74.3,22.1,27.6,77.9,17.2,10.9
68.4,8.9,66.4,15,53.3,85,19,5.6
68.8,7.1,69.9,18.8,51.8,81.2,13,8.3
70,8.6,80.9,14.9,39.1,85.1,24,6.1
73.6,8.9,72.8,15.4,44.7,84.6,18.8,5.2
68.8,10.7,67.5,20.9,34.2,79.1,18.5,8.3
63.3,12.6,70.7,23.4,29.4,76.6,26.9,9.9
71.7,6.8,78.6,17.6,32.4,82.4,16.3,7.7
65.8,7.9,76.3,21.7,32.1,78.3,14.9,10.3
62,9.5,84.8,24.7,33.9,75.3,12.6,11.5
66.8,10.8,67.1,17.1,37,82.9,19.5,10.1
66.7,8.8,76.1,19.9,30.5,80.1,13.8,9.4
65.5,9.7,85.2,21.2,36.7,78.8,16.1,9.1
70.2,8.9,69.1,16.3,44.5,83.7,14.7,6.1
72.7,8,77.1,14.7,49.5,85.3,19.3,5.3
72.4,5.1,67.8,14.9,53.9,85.1,12.5,8
62.3,10.1,75.2,25,41.5,75,10.2,11.7
67.3,3.9,73.9,18.6,58,81.4,18.8,6.4
67.9,7.2,86.4,20.1,53.6,79.9,17.6,5.2
73.6,8.7,79.1,16.3,40.7,83.7,14.2,7.8
64.1,10,65.1,18.6,53.4,81.4,13.4,9
67.2,10,78.6,20.2,40,79.8,14.2,9.6
66.5,8.5,77.7,20.9,43.5,79.1,13.4,9.2
61.3,13,65.7,22.2,33.4,77.8,28.3,9.3
61.4,11.6,73.1,23,32.2,77,20.8,8.8
66.8,10.1,81.5,20.8,41.7,79.2,23,6.4
70.7,5.8,79.2,15.5,44.9,84.5,21.6,6.9
63.9,10.7,78.2,18.9,39.3,81.1,24.7,6.4
58.7,11.4,78.9,21.8,33.9,78.2,25,7.6
63.7,6.7,79,20.1,40.2,79.9,21.7,5.7
75.4,7.1,87.4,12.6,51.4,87.4,17.8,8.1
72.7,8,75.2,16.1,43.3,83.9,17.9,5.5
63.1,12.4,73.9,22.9,34.2,77.1,24.7,8.3
66.8,8.7,76.3,19.3,39.1,80.7,21.8,8.3
62.8,10.8,79.5,20.7,38,79.3,29.1,6.1
65.8,8.1,83.1,19.6,45,80.4,18.9,6.3
69.7,3,80.3,19.6,60,80.4,13.1,6
73.7,12.3,44.9,16.8,38.1,83.2,20.4,4.9
57,8.9,79.8,25.3,27,74.7,23,8
67.3,8.7,80.3,19.3,42.1,80.7,20.2,5.6
67.1,8.1,78.1,21.7,56.2,78.3,19.6,4.8
65.5,4.7,81.9,17.4,27.9,82.6,24.7,6.8
65.7,5.5,89.2,30,31.7,70,21.8,8.1
64.6,9.8,80,18.3,35.2,81.7,21.9,6.5
64.2,3.2,69.3,24.7,43.7,75.3,22.7,7
68.4,8.8,88.4,9.8,38.9,90.2,27,4.4
55.9,5.6,96.9,18.1,51.1,81.9,28.5,4.8
73.2,8.3,69.9,16.5,43.3,83.5,22.2,5.8
59.3,17,73.2,27.6,21.8,72.4,20.1,7.8
66.4,9.7,82.5,18.6,39.1,81.4,21.2,7.5
48.2,4.3,60,21.4,54.1,78.6,27.2,5.1
73.3,12.5,76.2,12.9,33.9,87.1,20.6,6.5
64,11.4,91.4,18.4,41.2,81.6,21.3,6.1
70,6.1,90.9,20.9,36.3,79.1,24.8,6.2
73.9,4.7,62.6,17.3,41.7,82.7,18.4,5.7
69.6,13.9,75.8,13.7,39.4,86.3,30.4,5.8
68,11.2,81.9,20.2,51.9,79.8,16,5.7
65.4,10.7,71.6,17.1,27.8,82.9,23.5,5.5
70.2,8.1,89.4,18,38.4,82,25.3,7
53.6,12,67.9,18.4,47.1,81.6,28.3,5.9
63.8,8.4,75.7,17.8,40.7,82.2,26.6,6.1
52.9,10.9,69.9,18.9,31.6,81.1,27.7,6.8
49.4,14.8,59.1,25.1,35.6,74.9,28,6.3
61.3,13.7,51.7,20.7,32.5,79.3,25.1,9.8
61.6,10.7,66.9,21,29.1,79,20.3,12
57.5,7.1,88.7,16.9,40,83.1,25.8,7.2
65.9,13,92,17.3,34.8,82.7,32.1,7.4
64.2,12.2,45.3,17.7,43.2,82.3,26.1,5.6
65.8,7.8,80.9,20.6,26.7,79.4,17.2,9.1
75.9,8.4,84.9,12.4,34,87.6,20.4,6.7
46.7,10.6,85.8,39.3,51.8,60.7,20.4,7.9
65,11.9,72.7,15.6,29.2,84.4,25.4,6.8
70.3,13.2,84.1,16.9,37.9,83.1,19.2,6.3
63.8,12.1,83,25.5,34.1,74.5,17.3,7.4
60.4,7.4,79.9,21.2,48.5,78.8,19.7,8.1
66.4,21.4,57.3,20.9,32.6,79.1,15.4,11.3
62.4,13.1,55,15,26.4,85,25.3,6.4
71.2,3.5,92.3,19.6,33.1,80.4,23.2,6.1
